IPs,milliseconds,PUTs
10,228459,1231
3,901,4
6,52728,199
1,573,2
4,18918,91
1,1097,36
4,23441,73
3,5900,50
3,5207,12
4,62519,426
6,70629,280
3,11068,51
6,69848,306
5,2423,10
5,31761,172
5,22336,140
6,23089,127
5,9249,61
5,22231,113
5,4242,25
4,5739,28
6,22411,102
5,5172,32
7,13176,82
7,5468,40
7,5946,39
5,17805,90
4,2221,11
4,6312,28
3,4554,19
4,49222,196
4,23988,157
4,5291,213
3,18421,74
3,9898,42
4,12829,38
5,27711,125
3,7116,22
4,31621,100
4,28975,229
6,9056,56
6,32949,216
2,4370,9
3,5114,24
4,12815,112
3,28219,94
6,63192,374
3,35403,63
5,20728,87
3,35408,152
1,6131,10
4,25107,57
3,5373,24
3,5624,186
2,5988,222
2,10261,167
4,58574,174
7,122360,699
3,6365,86
3,42043,75
3,21355,44
4,63767,206
4,31551,68
3,18907,102
4,59532,167
2,30216,45
4,16302,269
3,588,18
3,15397,579
3,1995,134
3,5437,209
2,10,2
3,3308,122
4,20083,236
3,51458,80
3,30924,476
1,7320,266
2,82668,142
2,22945,284
4,88053,121
3,39861,40
3,268428,6
2,101807,306
3,166934,1087
1,10965,400
3,74890,41
4,262624,13
8,139502,272
2,20275,32
2,87662,250
4,25827,195
3,9805,362
2,1406,52
4,146092,70
8,114371,323
4,12058,67
3,812,4
4,115879,466
2,104966,278
3,79476,429
2,28,2
2,1251,46
1,2618,91
4,21395,19
3,26498,52
2,25457,28
2,11536,108
2,18796,664
4,242422,164
7,56399,102
3,3264,7
2,466,2
3,156920,203
1,8039,7
3,75509,93
3,1035,27
2,1591,37
4,91333,146
3,17115,23
3,4234,127
1,618,22
2,30755,41
4,27849,63
4,45514,149
2,22163,25
3,19637,35
6,27869,187
5,24677,459
3,26960,66
4,34177,158
3,6737,48
2,978,27
2,40883,71
4,36481,204
3,1496,34
2,25038,10
2,29991,44
1,21416,23
3,45523,72
4,29424,133
3,943,25
2,4803,129
5,17077,425
5,4892,145
4,1111,35
3,1249,39
3,15823,19
1,3,1
4,137019,259
3,1208,30
2,2833,75
2,17888,92
4,111782,597
3,134,4
2,3939,127
3,18450,565
2,2226,65
2,149,3
1,69,1
3,115887,214
4,113274,275
3,7896,205
2,5639,14
5,21468,20
2,1667,4
3,21955,31
3,129230,343
2,24935,36
