time,PUTs,updates
2016-03-17T07:55:30,1, 0
2016-03-17T07:55:31,1, 0
2016-03-17T07:55:33,1, 0
2016-03-17T07:55:34,1, 0
2016-03-17T07:55:35,1, 0
2016-03-17T07:55:36,1, 0
2016-03-17T07:55:37,1, 0
2016-03-17T07:55:39,1, 0
2016-03-17T07:55:40,1, 0
2016-03-17T07:55:41,1, 0
2016-03-17T07:55:42,1, 0
2016-03-17T07:55:43,1, 0
2016-03-17T07:55:45,1, 0
2016-03-17T07:55:46,1, 0
2016-03-17T07:55:47,1, 0
2016-03-17T07:55:48,1, 0
2016-03-17T07:55:49,1, 0
2016-03-17T07:55:50,1, 0
2016-03-17T07:55:52,1, 0
2016-03-17T07:55:53,1, 0
2016-03-17T07:55:54,1, 0
2016-03-17T07:55:55,1, 0
2016-03-17T07:55:56,1, 0
2016-03-17T07:55:57,1, 0
2016-03-17T07:55:59,1, 0
2016-03-17T07:56:00,1, 0
2016-03-17T07:56:01,1, 0
2016-03-17T07:56:02,1, 0
2016-03-17T07:56:03,1, 0
2016-03-17T07:56:05,1, 0
2016-03-17T07:56:06,1, 0
2016-03-17T07:56:07,1, 0
2016-03-17T07:56:08,1, 0
2016-03-17T07:56:09,1, 0
2016-03-17T07:56:11,1, 0
2016-03-17T07:56:12,1, 0
2016-03-17T07:56:13,1, 0
2016-03-17T07:56:14,1, 0
2016-03-17T07:56:16,1, 0
2016-03-17T07:56:17,1, 0
2016-03-17T07:56:18,1, 0
2016-03-17T07:56:19,1, 0
2016-03-17T07:56:21,1, 0
2016-03-17T07:56:22,1, 0
2016-03-17T07:56:23,1, 0
2016-03-17T07:56:24,1, 0
2016-03-17T07:56:25,1, 0
2016-03-17T07:56:27,1, 0
2016-03-17T07:56:28,1, 0
2016-03-17T07:56:29,1, 0
2016-03-17T07:56:30,1, 0
2016-03-17T07:56:32,1, 0
2016-03-17T07:56:33,1, 0
2016-03-17T07:56:34,1, 0
2016-03-17T07:56:35,1, 0
2016-03-17T07:56:37,1, 0
2016-03-17T07:56:38,1, 0
2016-03-17T07:56:39,1, 0
2016-03-17T07:56:40,1, 0
2016-03-17T07:56:42,1, 0
2016-03-17T07:56:43,1, 0
2016-03-17T07:56:44,1, 0
2016-03-17T07:56:45,1, 0
2016-03-17T07:56:47,1, 0
2016-03-17T07:56:48,1, 0
2016-03-17T07:56:49,1, 0
2016-03-17T07:56:50,1, 0
2016-03-17T07:56:52,1, 0
2016-03-17T07:56:54,2, 0
2016-03-17T07:56:56,2, 0
2016-03-17T07:56:58,1, 0
2016-03-17T07:56:59,1, 0
2016-03-17T07:57:00,1, 0
2016-03-17T07:57:01,1, 0
2016-03-17T07:57:03,1, 0
2016-03-17T07:57:04,1, 0
2016-03-17T07:57:05,1, 0
2016-03-17T07:57:06,1, 0
2016-03-17T07:57:07,1, 0
2016-03-17T07:57:09,1, 0
2016-03-17T07:57:10,1, 0
2016-03-17T07:57:11,1, 0
2016-03-17T07:57:12,1, 0
2016-03-17T07:57:14,1, 0
2016-03-17T07:57:15,1, 0
2016-03-17T07:57:16,1, 0
2016-03-17T07:57:17,1, 0
2016-03-17T07:57:19,1, 0
2016-03-17T07:57:20,1, 0
2016-03-17T07:57:21,1, 0
2016-03-17T07:57:22,1, 0
2016-03-17T07:57:24,1, 0
2016-03-17T07:57:25,1, 0
2016-03-17T07:57:26,1, 0
2016-03-17T07:57:27,1, 0
2016-03-17T07:57:28,1, 0
2016-03-17T07:57:30,1, 0
2016-03-17T07:57:31,1, 0
